System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.52(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.39(Debug=False)

Meldungen
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Hub Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Hub Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Hub Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Mani Hub Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Drehen Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Drehen Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Drehen Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Mani Drehen Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Arm Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Arm Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Arm Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Mani Arm Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Mani Arm Befehlsausgabe.SI6 Positionierungsbausteinactual_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Mani Arm Befehlsausgabe.SI6 Positionierungsbausteinsetpoint_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Mani Arm Befehlsausgabe.SI6 PositionierungsbausteinBetriebsstundenzähler" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Arm Befehlsausgabe.Wechsel fahren nach"Fahre nach Aufträge"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Arm Befehlsausgabe.Wechsel fahren nach_Instance"Fahre nach Aufträge"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Allgemein Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Allgemein Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Mani Allgemein Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Kühlzone Vereinzelung Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Kühlzone Vereinzelung Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Kühlzone Vereinzelung Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Kühlzone Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Kühlzone Störerfassung.Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Kühlzone Störerfassung.SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Kühlzone Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korbwechsel Störerfassung.Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korbwechsel Störerfassung.Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korbwechsel Störerfassung.SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Kippantrieb Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Kippantrieb Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Kippantrieb Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Korb Kippantrieb Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Drehantrieb Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Drehantrieb Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Drehantrieb Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Korb Drehantrieb Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb beladen Drehantrieb Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb beladen Drehantrieb Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb beladen Drehantrieb Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Korb beladen Drehantrieb Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Korb beladen  Drehantrieb Befehlsausgabe.SI6 Positionierungsbausteinactual_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Korb beladen  Drehantrieb Befehlsausgabe.SI6 Positionierungsbausteinsetpoint_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Korb beladen  Drehantrieb Befehlsausgabe.SI6 PositionierungsbausteinBetriebsstundenzähler" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb beladen  Drehantrieb Befehlsausgabe.Wechsel fahren nach"Fahre nach Aufträge"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Greifer Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Greifer Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Greifer Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Band 1 Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Band 1 Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Band 1 Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Korb Auskippen Band 1 Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Allgemein Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Korb Auskippen Allgemein Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
